"","V1","V2"
"EIF1AD",0.962589756272568,NA
"LRPAP1",0.285402314084242,NA
"ARHGAP21",0.193303806244809,NA
"DNAJC15",0.757910254049821,NA
"ARHGAP27",0.845178676270479,NA
"ARHGAP26",0.345749594161276,NA
"SAP18",0.9664047431472,NA
"ARHGAP24",0.207085076941785,NA
"FLJ39739",0.0237615319437472,NA
"SYDE1",0.736881687541496,NA
"HHAT",0.130428565864587,NA
"DDIT4",0.68343706612497,NA
"NFKBIL1",0.626097435128648,NA
"RBFA",0.902483500180807,NA
"COL19A1",0.915382515690582,NA
"CXCR2",0.988544078973865,NA
"PMF1.BGLAP",0.399588050414678,NA
"AFTPH",0.212301090635675,NA
"TBX5",0.607231486017349,NA
"BMP6",0.195607760337708,NA
"GPR1",0.110771438756829,NA
"BMP4",0.365689656820267,NA
"BMP3",0.121432558176899,NA
"BMP2",0.635624051441528,NA
"BMP1",0.064406292778285,NA
"NDUFAF4",0.0156906148879601,NA
"DR1",0.620005839871521,NA
"RLIM",0.32275490231918,NA
"C1orf35",0.772518879820044,NA
"SWT1",0.257467951962726,NA
"TERF2",0.294564729564459,NA
"TERF1",0.513250948330006,NA
"ASF1B",0.237137566437325,NA
"NDUFAF1",0.0155263784344321,NA
"FEM1A",0.537596041797935,NA
"RASSF8",0.525663519861576,NA
"RASSF1",0.332212012027692,NA
"PTOV1",0.47635659441132,NA
"RASSF2",0.970983734937189,NA
"RASSF5",0.0607649442875687,NA
"RASSF4",0.295447509674617,NA
"RASSF7",0.0683708712490396,NA
"RASSF6",0.635624051441528,NA
"LPPR4",0.785000147511255,NA
"NHP2",0.0722298236361223,NA
"LPPR2",0.973273599024354,NA
"LPPR1",0.285834201700065,NA
"OGFR.AS1",0.063037181150907,NA
"RSAD2",0.830593453994024,NA
"RSAD1",0.164562478084519,NA
"ATP5C1",0.451248423302888,NA
"MRPS18C",0.459339915368487,NA
"MIR639",0.164271954532859,NA
"CHD4",0.765934672039336,NA
"MRP63",0.679225086113036,NA
"CHD8",0.964115653146694,NA
"MIR636",0.526288153985473,NA
"CAP1",0.266835344355675,NA
"CAP2",0.587304662990978,NA
"MIR632",0.350668464255594,NA
"NPC2",0.0937187330878841,NA
"NPC1",0.582042393998119,NA
"GATA3.AS1",0.731834531468063,NA
"LINC00324",0.636989981471105,NA
"TTC5",0.677122835745534,NA
"TTC1",0.365689656820267,NA
"IL4R",0.527538558899104,NA
